original_language;popularity;title;vote_average;vote_count;price
en;11,089962;Still Crazy;7,1;35;6,99
en;7,229587;Peeping Tom;7,6;148;7,99
en;1,380947;The Last Days;7,7;10;7,99
en;6,652528;October Sky;7,4;259;6,99
en;12,329066;Office Space;7,4;1068;6,99
en;7,204017;The Long Goodbye;7,3;112;6,99
en;7,469056;The Towering Inferno;7,1;230;6,99
en;17,784978;Planet of the Apes;7,5;958;7,99
en;4,60786;Lock, Stock and Two Smoking Barrels;7,5;1671;7,99
en;10,461285;The Haunting;7,2;153;6,99
en;6,39955;Village of the Damned;7,1;92;6,99
en;7,630723;The King and I;7,3;103;6,99
en;33,366332;The Matrix;7,9;9079;7,99
en;12,069966;10 Things I Hate About You;7,3;1768;6,99
en;4,370812;SLC Punk;7,3;93;6,99
en;4,497049;Mildred Pierce;7,4;81;6,99
en;4,337545;The Castle;7,4;69;6,99
en;5,435716;Besieged;7,2;14;6,99
en;0,674417;The Mummy's Tomb;8,3;6;7,99
en;7,503126;Dracula;7,2;254;6,99
en;8,091603;Frankenstein;7,3;295;6,99
en;5,386984;The Wolf Man;7,2;124;6,99
en;8,699428;The Rocky Horror Picture Show;7,4;703;6,99
en;6,135431;Invasion of the Body Snatchers;7,3;277;6,99
en;2,73837;Run Silent, Run Deep;7,5;31;7,99
en;11,619416;Buena Vista Social Club;7,3;76;6,99
en;12,453452;Tarzan;7,1;1715;6,99
en;11,818055;South Park: Bigger, Longer & Uncut;7,1;916;6,99
en;13,268484;Eyes Wide Shut;7,1;1266;6,99
en;4,414077;The Wood;7,1;34;6,99
en;22,089729;Ghostbusters;7,3;2431;6,99
en;1,596052;Twin Falls Idaho;7,1;12;6,99
en;10,223264;The Killing;7,7;290;7,99
en;11,110376;Spartacus;7,3;472;6,99
en;9,551293;Lolita;7,3;409;6,99
en;14,003467;Barry Lyndon;7,7;521;7,99
en;11,573562;The Color Purple;7,7;345;7,99
en;2,077869;Frances;7,1;24;6,99
en;15,441459;The Iron Giant;7,6;1470;7,99
en;18,449169;The Sixth Sense;7,7;3223;7,99
en;9,132013;And Now for Something Completely Different;7,1;139;6,99
en;13,063203;Airplane!;7,1;1104;6,99
en;7,747432;National Lampoon's Vacation;7,1;412;6,99
en;2,770568;Little Nemo: Adventures In Slumberland;7,1;36;6,99
en;7,337907;A Christmas Story;7,4;352;6,99
en;14,364447;Three Days of the Condor;7,2;234;6,99
en;14,950187;Yellow Submarine;7,1;114;6,99
en;20,726578;American Beauty;7,9;3438;7,99
en;2,359569;Stop Making Sense;8,7;47;8,99
en;5,719266;A Hard Day's Night;7,3;172;6,99
en;2,017413;The Buddy Holly Story;7,5;33;7,99
en;8,476681;Deliverance;7,2;441;6,99
en;8,800455;Excalibur;7,1;241;6,99
en;6,536006;Boys Don't Cry;7,2;360;6,99
en;12,954444;Total Recall;7,1;1745;6,99
en;5,991482;Body Heat;7,1;128;6,99
en;12,724645;Ferris Bueller's Day Off;7,5;1340;7,99
en;9,91087;High Plains Drifter;7,4;284;6,99
en;5,408818;Brief Encounter;7,6;123;7,99
en;5,463216;Reds;7,1;70;6,99
en;7,380825;Days of Heaven;7,6;236;7,99
en;8,35844;The Lady Eve;7,5;74;7,99
en;8,64244;Sullivan's Travels;8;100;7,99
en;4,562074;Gilda;7,6;113;7,99
en;15,640007;The Dirty Dozen;7,5;309;7,99
en;13,78884;Goldfinger;7,2;1005;6,99
en;63,869599;Fight Club;8,3;9678;7,99
en;7,975238;The Bad Seed;7,1;91;6,99
en;5,632325;All That Jazz;7,3;88;6,99
en;6,645295;Crimes and Misdemeanors;7,4;201;6,99
en;13,485583;RoboCop;7,1;1494;6,99
en;16,78596;Who Framed Roger Rabbit;7,2;1466;6,99
en;11,416319;Being John Malkovich;7,3;1124;6,99
en;11,3569;The Insider;7,3;489;6,99
en;4,904915;They Shoot Horses, Don't They?;7,4;51;6,99
en;10,175138;Falling Down;7,2;837;6,99
en;8,002953;The General;8;240;7,99
en;1,078688;Rough Night in Jericho;7,3;5;6,99
en;2,593458;Mister Roberts;7,3;43;6,99
en;8,186994;Little Big Man;7,5;128;7,99
en;6,656685;A Face in the Crowd;7,4;48;6,99
en;14,285052;Trading Places;7,1;763;6,99
en;7,442056;The Commitments;7,4;132;6,99
en;10,770928;The Longest Day;7,3;237;6,99
en;9,596883;The Verdict;7,4;132;6,99
en;5,355761;Stand and Deliver;7,3;60;6,99
en;4,711031;Jeremiah Johnson;7,5;126;7,99
en;6,825852;Repulsion;7,5;218;7,99
en;5,967967;Irma la Douce;7,1;74;6,99
en;5,306185;Harvey;7,7;159;7,99
en;3,350126;Matewan;7,2;33;6,99
en;5,442081;McCabe & Mrs. Miller;7,3;82;6,99
en;9,668636;The Grapes of Wrath;7,8;211;7,99
en;7,144236;The Shop Around the Corner;7,9;107;7,99
en;5,564321;Midnight Run;7,2;241;6,99
en;13,201595;Awakenings;7,6;568;7,99
en;11,184385;The Fisher King;7,2;346;6,99
en;3,712567;Places in the Heart;7,1;31;6,99
en;17,547693;Toy Story 2;7,3;3914;6,99
en;19,96678;The Green Mile;8,2;4166;7,99
en;3,46626;The War Zone;7,2;54;6,99
en;5,961382;The Last Picture Show;7,6;133;7,99
en;9,091636;Magnolia;7,5;844;7,99
en;11,65502;The Talented Mr. Ripley;7,1;790;6,99
en;5,716009;The Hurricane;7,2;401;6,99
en;8,285062;Girl, Interrupted;7,6;747;7,99
en;0,154526;The Terrorist;8,1;4;7,99
en;13,377996;The Way We Were;7,1;87;6,99
en;9,47371;Stalag 17;7,6;143;7,99
en;15,698433;Papillon;7,8;445;7,99
en;4,344612;The Last Detail;7,1;85;6,99
en;9,721297;Five Easy Pieces;7,2;114;6,99
en;7,29114;Batman: Mask of the Phantasm;7,4;218;6,99
en;4,590055;Seven Chances;7,3;49;6,99
en;3,937139;The Goodbye Girl;7,3;37;6,99
en;14,505987;Scent of a Woman;7,3;763;6,99
en;8,736538;Twin Peaks: Fire Walk with Me;7,3;429;6,99
en;6,112112;Of Mice and Men;7,1;147;6,99
en;12,457908;The Boondock Saints;7,2;848;6,99
en;0,107046;The Brandon Teena Story;7,3;3;6,99
en;1,787278;The Big Combo;7,2;25;6,99
en;8,138554;To Sir, with Love;7,6;72;7,99
en;1,379256;Blue Collar;7,2;30;6,99
en;10,891524;City Lights;8,2;444;7,99
en;8,168456;The Kid;8;404;7,99
en;9,368099;Ghost Dog: The Way of the Samurai;7,2;306;6,99
en;9,739448;Splendor in the Grass;7,1;49;6,99
en;7,588489;Key Largo;7,6;124;7,99
en;1,529024;The Night Visitor;7,3;6;6,99
en;2,501072;A Raisin in the Sun;7,1;26;6,99
en;4,806374;Breaking Away;7,4;80;6,99
en;6,484495;Hoosiers;7,1;143;6,99
en;7,530126;Dog Day Afternoon;7,6;685;7,99
en;12,86559;The Asphalt Jungle;7,5;102;7,99
en;7,803856;The Searchers;7,7;332;7,99
en;4,671032;The Big Country;7,8;70;7,99
en;7,762833;The Taking of Pelham One Two Three;7,6;109;7,99
en;13,813146;JFK;7,5;513;7,99
en;6,560231;A Night to Remember;7,5;45;7,99
en;10,135446;Erin Brockovich;7,1;730;6,99
en;14,785388;Thelma & Louise;7,2;766;6,99
en;10,465403;Do the Right Thing;7,6;301;7,99
en;6,49432;Double Indemnity;8;425;7,99
en;9,023282;Good Morning, Vietnam;7,1;658;6,99
en;5,032469;Guess Who's Coming to Dinner;7,6;174;7,99
en;8,159556;Modern Times;8,1;881;7,99
en;4,526285;Hud;7,4;69;6,99
en;9,333533;The Hustler;7,6;243;7,99
en;6,302173;Inherit the Wind;7,6;93;7,99
en;10,610446;Close Encounters of the Third Kind;7,2;1122;6,99
en;8,176863;Jacob's Ladder;7,3;376;6,99
en;7,070669;El Dorado;7,2;96;6,99
en;12,497833;True Grit;7,3;205;6,99
en;7,186048;Midnight Express;7,6;309;7,99
en;15,020845;Misery;7,6;1085;7,99
en;13,180457;Network;7,8;391;7,99
en;8,3539;The Odd Couple;7,5;121;7,99
en;5,849522;The Outlaw Josey Wales;7,4;303;6,99
en;18,495694;Predator;7,3;2129;6,99
en;13,686715;American Psycho;7,3;2128;6,99
en;2,756553;The Filth and the Fury;7,3;29;6,99
en;10,82887;Cabaret;7,4;210;6,99
en;4,857003;What Ever Happened to Baby Jane?;7,9;210;7,99
en;6,006812;Marathon Man;7,2;227;6,99
en;5,733227;Love & Basketball;7,5;93;7,99
en;10,505387;The Virgin Suicides;7,1;841;6,99
en;10,755881;Limelight;8;99;7,99
en;23,186667;Gladiator;7,9;5566;7,99
en;6,202041;The Gold Rush;7,7;308;7,99
en;6,466517;Monsieur Verdoux;7,9;74;7,99
en;4,182204;A King in New York;7,1;38;6,99
en;8,522673;The Guns of Navarone;7,3;191;6,99
en;6,99099;Romeo and Juliet;7,3;145;6,99
en;13,233262;Blazing Saddles;7,2;619;6,99
en;7,871001;Eraserhead;7,5;500;7,99
en;9,925348;Baraka;8;156;7,99
en;10,226181;Magnum Force;7,1;251;6,99
en;8,884;Blood Simple;7,3;308;6,99
en;11,189831;Mad Max 2: The Road Warrior;7,3;981;6,99
